kx (1/m)	特征频率 (Hz)	角频率 (rad/s)
0.31416	27.013	169.73
0.31416	28.730	180.52
0.31416	29.513	185.44
0.31416	31.815	199.90
0.31416	34.906	219.32
0.31416	38.312	240.72
0.31416	40.213	252.67
0.31416	42.332	265.98
0.31416	44.905	282.15
0.31416	47.110	296.00
0.31416	47.978	301.46
0.31416	50.025	314.32
0.31416	50.314	316.13
0.31416	51.153	321.40
0.31416	51.728	325.02
0.31416	53.956	339.01
0.31416	56.232	353.31
0.31416	58.150	365.37
0.31416	61.675	387.51
0.31416	64.434	404.85
0.31416	67.924	426.78
0.31416	69.953	439.53
0.31416	75.737	475.87
0.31416	76.589	481.22
0.31416	81.510	512.14
0.31416	85.185	535.23
0.31416	88.981	559.09
0.31416	92.734	582.67
0.31416	94.083	591.14
0.31416	101.54	638.00
0.31416	106.00	666.00
0.31416	107.85	677.61
0.31416	113.99	716.19
0.34558	13.381	84.074
0.34558	20.847	130.98
0.34558	25.435	159.81
0.34558	27.502	172.80
0.34558	27.541	173.05
0.34558	27.721	174.18
0.34558	28.141	176.81
0.34558	28.996	182.19
0.34558	30.667	192.69
0.34558	31.376	197.14
0.34558	33.433	210.07
0.34558	36.417	228.81
0.34558	40.151	252.28
0.34558	42.094	264.48
0.34558	44.143	277.36
0.34558	46.471	291.99
0.34558	48.893	307.21
0.34558	52.327	328.78
0.34558	53.205	334.30
0.34558	55.021	345.71
0.34558	55.355	347.81
0.34558	55.446	348.38
0.34558	57.242	359.66
0.34558	57.681	362.42
0.34558	60.709	381.45
0.34558	62.955	395.56
0.34558	66.602	418.47
0.34558	69.319	435.54
0.34558	71.447	448.92
0.34558	76.590	481.23
0.34558	78.438	492.84
0.34558	82.038	515.46
0.34558	86.615	544.22
0.34558	89.340	561.34
0.34558	94.315	592.60
0.34558	94.511	593.83
0.34558	101.91	640.31
0.34558	107.07	672.74
0.34558	108.51	681.79
0.34558	114.55	719.76
0.37699	14.532	91.310
0.37699	22.189	139.42
0.37699	26.642	167.40
0.37699	30.000	188.50
0.37699	30.011	188.57
0.37699	30.100	189.13
0.37699	30.395	190.98
0.37699	31.126	195.57
0.37699	32.717	205.57
0.37699	33.254	208.94
0.37699	35.122	220.68
0.37699	38.015	238.86
0.37699	41.834	262.85
0.37699	43.582	273.83
0.37699	46.132	289.85
0.37699	48.247	303.14
0.37699	50.778	319.05
0.37699	54.196	340.52
0.37699	57.066	358.56
0.37699	58.223	365.83
0.37699	59.942	376.62
0.37699	60.026	377.15
0.37699	60.228	378.42
0.37699	60.991	383.22
0.37699	63.684	400.14
0.37699	64.443	404.91
0.37699	69.083	434.06
0.37699	70.493	442.92
0.37699	73.696	463.04
0.37699	77.123	484.58
0.37699	80.771	507.50
0.37699	82.657	519.35
0.37699	88.119	553.67
0.37699	89.745	563.88
0.37699	94.932	596.48
0.37699	96.117	603.92
0.37699	102.35	643.07
0.37699	107.88	677.81
0.37699	109.55	688.35
0.37699	115.04	722.84
0.40841	15.736	98.874
0.40841	23.457	147.39
0.40841	27.706	174.08
0.40841	32.156	202.04
0.40841	32.502	204.22
0.40841	32.545	204.49
0.40841	32.771	205.91
0.40841	33.388	209.78
0.40841	34.813	218.74
0.40841	35.121	220.67
0.40841	36.918	231.96
0.40841	39.721	249.57
0.40841	43.451	273.01
0.40841	44.946	282.41
0.40841	47.776	300.19
0.40841	50.432	316.87
0.40841	52.800	331.75
0.40841	55.462	348.48
0.40841	59.056	371.06
0.40841	61.724	387.82
0.40841	63.259	397.47
0.40841	64.161	403.14
0.40841	65.017	408.51
0.40841	65.260	410.04
0.40841	65.947	414.36
0.40841	67.729	425.56
0.40841	71.153	447.07
0.40841	72.299	454.27
0.40841	76.481	480.55
0.40841	77.674	488.04
0.40841	82.934	521.09
0.40841	83.677	525.76
0.40841	89.610	563.04
0.40841	90.300	567.37
0.40841	95.478	599.91
0.40841	97.970	615.56
0.40841	102.89	646.50
0.40841	108.50	681.74
0.40841	110.89	696.73
0.40841	115.48	725.60
0.43982	16.982	106.70
0.43982	24.653	154.90
0.43982	28.715	180.42
0.43982	33.996	213.61
0.43982	35.002	219.92
0.43982	35.038	220.15
0.43982	35.221	221.30
0.43982	35.723	224.45
0.43982	36.778	231.08
0.43982	37.129	233.29
0.43982	38.845	244.07
0.43982	41.532	260.96
0.43982	45.014	282.83
0.43982	46.342	291.18
0.43982	49.184	309.03
0.43982	52.700	331.12
0.43982	54.951	345.27
0.43982	56.816	356.99
0.43982	60.118	377.73
0.43982	64.654	406.23
0.43982	66.253	416.28
0.43982	67.706	425.41
0.43982	68.696	431.63
0.43982	70.019	439.94
0.43982	70.365	442.12
0.43982	71.268	447.79
0.43982	72.905	458.08
0.43982	75.174	472.33
0.43982	78.307	492.02
0.43982	79.623	500.29
0.43982	83.963	527.55
0.43982	86.017	540.46
0.43982	90.510	568.69
0.43982	91.617	575.65
0.43982	96.136	604.04
0.43982	99.802	627.07
0.43982	103.64	651.19
0.43982	109.10	685.46
0.43982	112.36	705.99
0.43982	115.90	728.24
0.47124	18.260	114.73
0.47124	25.774	161.94
0.47124	29.725	186.77
0.47124	35.592	223.63
0.47124	37.502	235.63
0.47124	37.533	235.82
0.47124	37.684	236.78
0.47124	38.065	239.17
0.47124	38.639	242.77
0.47124	39.318	247.04
0.47124	40.888	256.91
0.47124	43.438	272.93
0.47124	46.506	292.21
0.47124	47.818	300.45
0.47124	50.559	317.67
0.47124	54.773	344.15
0.47124	57.123	358.91
0.47124	58.349	366.62
0.47124	61.323	385.30
0.47124	65.930	414.25
0.47124	69.686	437.85
0.47124	70.706	444.26
0.47124	72.552	455.86
0.47124	73.494	461.78
0.47124	75.016	471.34
0.47124	75.289	473.06
0.47124	76.374	479.87
0.47124	78.100	490.72
0.47124	79.416	498.98
0.47124	82.849	520.55
0.47124	85.074	534.54
0.47124	88.511	556.13
0.47124	91.210	573.09
0.47124	93.370	586.66
0.47124	96.986	609.38
0.47124	101.39	637.04
0.47124	104.77	658.30
0.47124	109.73	689.43
0.47124	113.92	715.78
0.47124	116.33	730.91
0.50265	19.563	122.92
0.50265	26.824	168.54
0.50265	30.765	193.31
0.50265	36.959	232.22
0.50265	40.002	251.34
0.50265	40.020	251.45
0.50265	40.096	251.93
0.50265	40.287	253.13
0.50265	40.714	255.82
0.50265	41.559	261.13
0.50265	43.011	270.24
0.50265	45.417	285.36
0.50265	47.917	301.07
0.50265	49.381	310.27
0.50265	51.991	326.67
0.50265	56.625	355.79
0.50265	59.070	371.15
0.50265	60.089	377.55
0.50265	62.833	394.79
0.50265	67.164	422.00
0.50265	71.676	450.35
0.50265	73.788	463.62
0.50265	75.237	472.73
0.50265	77.541	487.20
0.50265	79.192	497.58
0.50265	79.931	502.22
0.50265	80.022	502.79
0.50265	80.487	505.72
0.50265	82.751	519.94
0.50265	85.075	534.54
0.50265	87.481	549.66
0.50265	90.548	568.93
0.50265	92.398	580.56
0.50265	95.142	597.80
0.50265	98.218	617.12
0.50265	102.55	644.34
0.50265	106.41	668.60
0.50265	110.45	693.98
0.50265	115.55	726.00
0.50265	116.78	733.78
0.53407	20.885	131.23
0.53407	27.807	174.72
0.53407	31.850	200.12
0.53407	38.150	239.70
0.53407	42.058	264.26
0.53407	42.502	267.05
0.53407	42.531	267.23
0.53407	42.680	268.17
0.53407	43.062	270.56
0.53407	43.829	275.39
0.53407	45.187	283.92
0.53407	47.444	298.10
0.53407	49.255	309.48
0.53407	51.015	320.53
0.53407	53.518	336.27
0.53407	58.319	366.43
0.53407	60.812	382.09
0.53407	61.769	388.10
0.53407	64.757	406.88
0.53407	68.513	430.48
0.53407	73.301	460.56
0.53407	75.414	473.84
0.53407	78.865	495.52
0.53407	80.338	504.78
0.53407	82.175	516.32
0.53407	82.917	520.98
0.53407	85.015	534.17
0.53407	85.313	536.03
0.53407	86.403	542.89
0.53407	87.108	547.32
0.53407	90.928	571.31
0.53407	91.786	576.71
0.53407	94.500	593.76
0.53407	96.749	607.89
0.53407	100.12	629.05
0.53407	103.41	649.72
0.53407	108.30	680.49
0.53407	111.37	699.76
0.53407	117.05	735.42
0.53407	117.49	738.24
0.56549	22.220	139.61
0.56549	28.737	180.56
0.56549	32.977	207.20
0.56549	39.227	246.47
0.56549	43.870	275.64
0.56549	45.002	282.75
0.56549	45.027	282.92
0.56549	45.153	283.70
0.56549	45.468	285.68
0.56549	46.119	289.77
0.56549	47.403	297.84
0.56549	49.471	310.83
0.56549	50.575	317.77
0.56549	52.694	331.08
0.56549	55.149	346.51
0.56549	59.913	376.44
0.56549	62.510	392.76
0.56549	63.260	397.47
0.56549	66.902	420.36
0.56549	70.077	440.31
0.56549	74.725	469.51
0.56549	76.931	483.37
0.56549	80.774	507.52
0.56549	83.355	523.73
0.56549	85.247	535.62
0.56549	86.784	545.28
0.56549	87.988	552.84
0.56549	90.015	565.58
0.56549	90.279	567.24
0.56549	91.447	574.58
0.56549	92.727	582.62
0.56549	94.452	593.46
0.56549	97.062	609.86
0.56549	98.369	618.07
0.56549	102.70	645.29
0.56549	104.15	654.41
0.56549	110.00	691.14
0.56549	112.71	708.18
0.56549	117.70	739.54
0.56549	119.22	749.11
0.59690	23.561	148.04
0.59690	29.628	186.16
0.59690	34.139	214.50
0.59690	40.237	252.82
0.59690	45.595	286.48
0.59690	47.502	298.46
0.59690	47.524	298.60
0.59690	47.628	299.26
0.59690	47.879	300.84
0.59690	48.427	304.27
0.59690	49.648	311.95
0.59690	51.298	322.31
0.59690	52.097	327.34
0.59690	54.397	341.79
0.59690	56.873	357.34
0.59690	61.447	386.08
0.59690	64.196	403.36
0.59690	64.693	406.48
0.59690	68.956	433.26
0.59690	71.938	452.00
0.59690	76.048	477.82
0.59690	78.436	492.83
0.59690	81.980	515.09
0.59690	86.367	542.66
0.59690	87.724	551.18
0.59690	89.872	564.68
0.59690	91.513	574.99
0.59690	93.261	585.97
0.59690	95.014	596.99
0.59690	95.249	598.47
0.59690	96.268	604.87
0.59690	96.996	609.44
0.59690	99.866	627.48
0.59690	100.84	633.61
0.59690	104.86	658.83
0.59690	105.81	664.84
0.59690	111.24	698.94
0.59690	114.56	719.81
0.59690	118.31	743.39
0.59690	121.24	761.79
0.62832	24.905	156.48
0.62832	30.496	191.61
0.62832	35.323	221.94
0.62832	41.214	258.96
0.62832	47.219	296.69
0.62832	50.001	314.17
0.62832	50.017	314.27
0.62832	50.089	314.72
0.62832	50.281	315.92
0.62832	50.761	318.94
0.62832	51.911	326.17
0.62832	52.728	331.30
0.62832	54.049	339.60
0.62832	56.107	352.53
0.62832	58.675	368.66
0.62832	62.949	395.52
0.62832	65.808	413.49
0.62832	66.225	416.11
0.62832	70.798	444.84
0.62832	74.039	465.20
0.62832	77.349	486.00
0.62832	79.927	502.19
0.62832	83.305	523.42
0.62832	87.834	551.88
0.62832	90.962	571.53
0.62832	92.290	579.87
0.62832	94.465	593.54
0.62832	96.200	604.44
0.62832	98.066	616.17
0.62832	100.01	628.40
0.62832	100.22	629.68
0.62832	100.95	634.31
0.62832	102.69	645.21
0.62832	104.26	655.06
0.62832	105.94	665.65
0.62832	109.17	685.94
0.62832	112.22	705.12
0.62832	116.58	732.48
0.62832	119.07	748.16
0.62832	123.45	775.65
0.65973	26.244	164.90
0.65973	31.356	197.01
0.65973	36.519	229.45
0.65973	42.181	265.03
0.65973	48.725	306.15
0.65973	52.448	329.54
0.65973	52.502	329.88
0.65973	52.536	330.09
0.65973	52.698	331.11
0.65973	53.132	333.84
0.65973	53.945	338.95
0.65973	54.309	341.23
0.65973	56.141	352.75
0.65973	57.825	363.33
0.65973	60.539	380.38
0.65973	64.435	404.86
0.65973	67.309	422.91
0.65973	67.934	426.84
0.65973	72.501	455.54
0.65973	76.132	478.35
0.65973	78.712	494.56
0.65973	81.460	511.83
0.65973	84.792	532.76
0.65973	88.988	559.13
0.65973	92.987	584.26
0.65973	95.480	599.92
0.65973	96.263	604.84
0.65973	99.209	623.35
0.65973	100.95	634.29
0.65973	104.01	653.49
0.65973	105.01	659.82
0.65973	105.27	661.43
0.65973	105.93	665.58
0.65973	106.78	670.93
0.65973	109.04	685.10
0.65973	112.74	708.38
0.65973	113.18	711.13
0.65973	118.32	743.40
0.65973	120.22	755.34
0.65973	125.42	788.06
0.69115	27.573	173.24
0.69115	32.219	202.44
0.69115	37.715	236.97
0.69115	43.154	271.14
0.69115	50.102	314.80
0.69115	54.691	343.64
0.69115	55.002	345.59
0.69115	55.027	345.74
0.69115	55.159	346.57
0.69115	55.376	347.94
0.69115	55.541	348.98
0.69115	56.569	355.43
0.69115	58.212	365.76
0.69115	59.588	374.40
0.69115	62.452	392.40
0.69115	65.917	414.17
0.69115	68.798	432.27
0.69115	69.734	438.15
0.69115	74.157	465.94
0.69115	77.936	489.68
0.69115	80.233	504.12
0.69115	83.135	522.35
0.69115	86.412	542.94
0.69115	90.084	566.01
0.69115	94.329	592.69
0.69115	97.811	614.56
0.69115	99.053	622.37
0.69115	100.85	633.63
0.69115	105.56	663.24
0.69115	106.61	669.83
0.69115	106.94	671.93
0.69115	110.01	691.23
0.69115	110.23	692.61
0.69115	111.49	700.53
0.69115	112.60	707.46
0.69115	114.50	719.44
0.69115	116.44	731.59
0.69115	119.54	751.10
0.69115	121.97	766.34
0.69115	126.34	793.80
0.72257	28.883	181.48
0.72257	33.099	207.96
0.72257	38.902	244.43
0.72257	44.144	277.36
0.72257	51.353	322.66
0.72257	56.621	355.76
0.72257	57.027	358.31
0.72257	57.502	361.29
0.72257	57.524	361.44
0.72257	57.640	362.16
0.72257	57.974	364.26
0.72257	58.872	369.90
0.72257	60.179	378.11
0.72257	61.480	386.29
0.72257	64.400	404.64
0.72257	67.403	423.51
0.72257	70.321	441.84
0.72257	71.584	449.77
0.72257	75.811	476.33
0.72257	79.367	498.68
0.72257	81.886	514.50
0.72257	85.009	534.13
0.72257	88.145	553.83
0.72257	91.186	572.94
0.72257	95.497	600.03
0.72257	99.795	627.03
0.72257	100.73	632.93
0.72257	103.94	653.06
0.72257	107.64	676.30
0.72257	109.29	686.71
0.72257	110.40	693.63
0.72257	114.39	718.73
0.72257	115.01	722.65
0.72257	115.21	723.89
0.72257	116.31	730.79
0.72257	117.54	738.54
0.72257	120.07	754.44
0.72257	120.64	758.02
0.72257	124.16	780.13
0.72257	127.10	798.61
0.75398	30.165	189.53
0.75398	34.007	213.67
0.75398	40.073	251.79
0.75398	45.158	283.74
0.75398	52.495	329.84
0.75398	58.191	365.63
0.75398	58.974	370.55
0.75398	60.002	377.00
0.75398	60.022	377.13
0.75398	60.126	377.78
0.75398	60.415	379.60
0.75398	61.128	384.08
0.75398	62.074	390.02
0.75398	63.548	399.28
0.75398	66.363	416.97
0.75398	68.903	432.93
0.75398	71.885	451.67
0.75398	73.472	461.64
0.75398	77.478	486.81
0.75398	80.573	506.25
0.75398	83.539	524.89
0.75398	87.004	546.66
0.75398	90.002	565.50
0.75398	92.333	580.15
0.75398	96.645	607.24
0.75398	101.49	637.66
0.75398	102.15	641.85
0.75398	107.09	672.84
0.75398	109.07	685.28
0.75398	111.87	702.88
0.75398	114.95	722.28
0.75398	115.58	726.21
0.75398	120.01	754.06
0.75398	120.19	755.15
0.75398	120.50	757.10
0.75398	121.10	760.90
0.75398	122.53	769.90
0.75398	123.35	775.02
0.75398	126.85	797.00
0.75398	127.98	804.15
0.78540	31.409	197.35
0.78540	34.958	219.65
0.78540	41.223	259.01
0.78540	46.202	290.29
0.78540	53.553	336.49
0.78540	59.759	375.48
0.78540	60.802	382.03
0.78540	62.502	392.71
0.78540	62.520	392.83
0.78540	62.608	393.38
0.78540	62.828	394.76
0.78540	63.260	397.47
0.78540	64.116	402.85
0.78540	65.735	413.02
0.78540	68.313	429.23
0.78540	70.434	442.55
0.78540	73.485	461.72
0.78540	75.392	473.70
0.78540	79.161	497.38
0.78540	81.695	513.30
0.78540	85.153	535.03
0.78540	88.939	558.82
0.78540	92.019	578.17
0.78540	93.561	587.86
0.78540	97.828	614.67
0.78540	102.70	645.29
0.78540	103.95	653.17
0.78540	108.75	683.27
0.78540	111.93	703.30
0.78540	114.40	718.79
0.78540	116.53	732.17
0.78540	119.80	752.71
0.78540	121.98	766.45
0.78540	125.00	785.39
0.78540	125.03	785.58
0.78540	125.36	787.64
0.78540	125.91	791.13
0.78540	126.60	795.45
0.78540	128.73	808.81
0.78540	130.50	819.93
0.81681	32.603	204.85
0.81681	35.962	225.96
0.81681	42.351	266.10
0.81681	47.273	297.03
0.81681	54.553	342.77
0.81681	61.357	385.52
0.81681	62.418	392.19
0.81681	64.948	408.08
0.81681	65.002	408.42
0.81681	65.028	408.58
0.81681	65.152	409.36
0.81681	65.486	411.46
0.81681	66.375	417.05
0.81681	67.980	427.13
0.81681	70.205	441.11
0.81681	72.032	452.59
0.81681	75.115	471.96
0.81681	77.338	485.93
0.81681	80.846	507.97
0.81681	82.819	520.37
0.81681	86.742	545.02
0.81681	90.683	569.78
0.81681	94.193	591.83
0.81681	94.898	596.26
0.81681	99.071	622.48
0.81681	103.84	652.46
0.81681	105.81	664.81
0.81681	109.82	690.00
0.81681	114.88	721.80
0.81681	117.04	735.36
0.81681	117.98	741.31
0.81681	123.07	773.28
0.81681	124.62	783.03
0.81681	127.42	800.59
0.81681	128.74	808.91
0.81681	130.01	816.89
0.81681	130.17	817.91
0.81681	130.74	821.45
0.81681	131.17	824.15
0.81681	133.73	840.28
0.84823	33.738	211.98
0.84823	37.030	232.67
0.84823	43.455	273.03
0.84823	48.371	303.92
0.84823	55.518	348.83
0.84823	62.965	395.62
0.84823	63.845	401.15
0.84823	66.968	420.77
0.84823	67.503	424.13
